,What is the movie release year?,What is the movie name?,Who is the actor/actress?,Who is the director?,Is this film a comedy?,Is this film a thriller?,Is this film a drama?,Is this film a romance?
0,2013,Gravity,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Alfonso Cuarón,no,yes,yes,no
1,2013,Gravity,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Alfonso Cuarón,no,yes,yes,no
2,2013,Gravity,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Alfonso Cuarón,no,yes,yes,no
3,1982,Blade Runner,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",Ridley Scott,no,yes,no,no
4,1982,Blade Runner,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",Ridley Scott,no,yes,no,no
5,1982,Blade Runner,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",Ridley Scott,no,yes,no,no
6,1994,PulpFiction,"John Travolta, Uma Thurman, Samuel L. Jackson",Quentin Tarantino,no,no,yes,no
7,1994,PulpFiction,"John Travolta, Uma Thurman, Samuel L. Jackson",Quentin Tarantino,no,no,yes,no
8,1994,PulpFiction,"John Travolta, Uma Thurman, Samuel L. Jackson",Quentin Tarantino,no,no,yes,no
9,2008,The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,no,no,yes,no
10,2008,The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,no,no,yes,no
11,2008,The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,no,no,yes,no
12,1972,The Godfather,"Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,no,no,yes,no
13,1972,The Godfather,"Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,no,no,yes,no
14,1972,The Godfather,"Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,no,no,yes,no
15,1994,The Shawshank Redemption,"Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,no,no,yes,no
16,1994,The Shawshank Redemption,"Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,no,no,yes,no
17,1994,The Shawshank Redemption,"Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,no,no,yes,no
